"%s already exist","%s уже существует"
"%s already exists","%s уже существует"
"-- Please Select --","-- Выбирайте из списка --"
"Footer","Подвал"
"Forgot Password Email Sender","Письмо о забытом пароле. Отправитель"
"Forgot Password Email Template","Письмо о забытом пароле. Шаблон"
"General","Общие"
"General Settings","Общие настройки"
"General contact","Общий контакт"
"Global","Глобальные"
"HTML Head","HTML заголовок"
"Header","Заголовок"
"Host","Хост"
"Id path for specified store","ID путь для указанного магазина"
"Incorrect credit card expiration date","Неверная дата истечения банковской карты"
"Invalid base url type","Неправильный базовый тип url"
"Invalid block name to set child %s: %s","Неправильное название блока для установки под-блока %s: %s"
"Invalid block type: %s","Неверный тип блока: %s"
"Invalid block: %s","Неверный блок: %s"
"Invalid layout update argument, expected Mage_Core_Model_Layout_Element","Неправильный аргумент макета обновления (layout update), ожидается Mage_Core_Model_Layout_Element"
"Invalid layout update handle","Неверный обработчик измения шаблона"
"Invalid messages storage ""%s"" for layout messages initialization","Неверное хранилище сообщений ""%s"" для инициализации сообщений шаблона"
"Invalid transactional email code: ","Неправильный email код транзакци:"
"Invalid websites configuration path: %s","Неверный путь конфигурации веб-сайтов: %s"
"Layout","Макет"
"Layouts","Макеты"
"Leave empty for access from any location","Оставьте пустым для доступа из любого места"
"Locale","Язык"
"Locale options","Языковые варианты"
"Log Settings","НАстройки лога"
"Logging from Mage::log(). File is located in {{base_dir}}/var/log","Лог Mage::log(). Файл находится в {{base_dir}}/var/log"
"Logging from Mage::logException(). File is located in {{base_dir}}/var/log","Лог from Mage::logException(). Файл находится в {{base_dir}}/var/log"
"Logo Image Alt","Описание для файла логотипа"
"Logo Image Src","Файл логотипа"
"Manage Stores","Управление магазинами"
"Match expressions in the same order as displayed in the configuration.","Сравнить выражения в том порядке, который указан в конфигурации."
"Miscellaneous HTML","Различный HTML"
"Miscellaneous scripts","Различные скрипты"
"Model class does not exist: %s","Модель класса не существует: %s"
"Model collection resource name is not defined","Модель коллекций ресурса не определена"
"Module ""%1$s"" can not be depended from ""%2$s""","Модуль ""%1$s"" не может зависеть от ""%2$s"""
"Name","Имя"
"New Design Change","Смена дизайна"
"New Store","Новый магазин"
"New Store View","Новый вид магазина"
"New Website","Новый сайт"
"Package","Пакет"
"Please choose to register or to checkout as a guest","Пожалуйста, выберите регистрацию или оформление заказа без регистрации."
"Please define flag code.","Определитесь с этим кодом."
"Please enter 6 or more characters.","Пожалуйста, введите 6 или более символов."
"Please enter 6 or more characters. Leading or trailing spaces will be ignored.","Введите 6 или больее символов. Пробелы в начале или конце будут удалены."
"Please enter a number greater than 0 in this field.","Введите число больше 0 в этом поле"
"Please enter a valid $ amount. For example $100.00.","Пожалуйста, введите сумму, например 100,00."
"Please enter a valid URL. For example http://www.example.com or www.example.com","Пожалуйста, введите URL. Например, http://www.example.com или www.example.com"
"Please enter a valid URL. http:// is required","Пожалуйста, введите URL. http:// обязательно"
"Please enter a valid credit card number.","Пожалуйста, введите правильный номер кредитной карты."
"Please enter a valid date.","Пожалуйста, введите правильную дату."
"Please enter a valid email address. For example johndoe@domain.com.","Пожалуйста, введите правильный адрес электронной почты. Например johndoe@domain.com."
"Please enter a valid number in this field.","Пожалуйста, введите правильное число в этом поле."
"Please enter a valid phone number. For example (123) 456-7890 or 123-456-7890.","Пожалуйста, введите верный номер телефона. Например (123) 456-7890 или 123-456-7890."
"Please enter a valid social security number. For example 123-45-6789.","Пожалуйста, введите правильный номер социального страхования. Например 123-45-6789."
"Please enter a valid zip code.","Пожалуйста, введите правильный почтовый индекс."
"Please enter a valid zip code. For example 90602 or 90602-1234.","Введите корректный почтовый индекс. Например, 153005."
"Please enter valid password.","Пожалуйста, введите правильный пароль."
"Please make sure that Base URL ends with '/' (slash), e.g. http://yourdomain/magento/","Убедитесь, что ссылка заканчивается '/' (косая черта), например, http://yourdomain/magento/"
"Please make sure your passwords match.","Пожалуйста, убедитесь, что ваши пароли совпадают."
"Please select State/Province.","Выберите штат/провинцию."
"Please select an option.","Пожалуйста, выберите один вариант."
"Please select one of the above options.","Пожалуйста, выберите один из вышеуказанных вариантов."
"Please select one of the options.","Пожалуйста, выберите один из вариантов."
"Please specify payment method.","Укажите метод оплаты."
"Please specify shipping method.","Укажите метод доставки."
"Please use letters only (a-z or A-Z) in this field.","Пожалуйста, используйте только буквы (а-я,А-Я,a-z,A-Z) в этом поле."
"Please use letters only (a-z) in this field.","Пожалуйста, используйте только буквы (а-я,А-Я,a-z,A-Z) в этом поле."
"Please use numbers only in this field. please avoid spaces or other characters such as dots or commas.","Пожалуйста, используйте только цифры в этом поле. Пожалуйста, избегайте использование пробелов или других символов, таких как точки и запятые."
"Please use only letters (a-z) or numbers (0-9) only in this field. No spaces or other characters are allowed.","Пожалуйста, используйте только буквы (a-z) или цифры (0-9) в этом поле. Пробелы или другие символы не допускаются."
"Please use only letters (a-z) or numbers (0-9) or spaces and # only in this field.","Пожалуйста, используйте только буквы (а-я,а-z) или цифры (0-9) в этом поле. Допускаются пробелы и #"
"Please use only letters (a-z), numbers (0-9) or underscore(_) in this field, first character should be a letter.","Пожалуйста, используйте только буквы (a-z) или цифры (0-9) в этом поле или подчеркивание. Первым символом должна быть буква."
"Please use this date format: dd/mm/yyyy. For example 17/03/2006 for the 17th of March, 2006.","Пожалуйста, используйте этот формат даты: дд/мм/гггг. Например 17/03/2006 для 17 марта 2006 года."
"Please wait, loading...","Подождите, идет загрузка ..."
"Polls","Опросы"
"Port (25)","Порт (25)"
"Profiler","Профайлер"
"Prototype Deprecation Log","Лог библиотеки Prototype"
"Request path for specified store","Запрашиваемый путь для указанного магазина"
"Requested invalid store ""%s""","Запрошен неверный магазин ""%s"""
"Resource is not set","Ресурс не установлен"
"Root Category","Корневой раздел"
"SMTP settings (Windows server only)","SMTP настройки (только для Windows-сервера)"
"Sales representative","Представитель по продажам"
"Save","Сохранить"
"Save Store","Сохранить магазин"
"Save Store View","Сохранить вид магазина"
"Save Website","Сохранить сайт"
"Search Engines Optimization","Поисковая оптимизация"
"Secure","Безопасное соединение"
"Select Date","Выберите дату"
"Sender email","Email отправителя"
"Sender name","Имя отправителя"
"Services","Сервисы"
"Session Cookie management","Управление сессиями cokies"
"Session Validation Settings","Настройки проверки сессий"
"Set as default","Установить по умолчанию"
"Skin (Images / CSS)","Шкурка (изображения / CSS)"
"Sort order","Порядок сортировки"
"Specified date/time ""%1$s"" do not match format ""%2$s"".","Указанная временная величина ""%1$s"" не соответствует формату ""%2$s""."
"Specify either category or product, or both.","Specify either category or product, or both."
"Start date can\'t be greater than end date","Start date can\'t be greater than end date"
"Startup page","Startup page"
"Status","Status"
"Store","Магазин"
"Store Email Addresses","Email адреса магазина"
"Store Information","Информация о магазине"
"Store Name","Название магазина"
"Store View","Store View"
"Store View Information","Информация вида магазина"
"Store View Name","Название вида магазина"
"Store View was successfully saved","Вид магазина был успешно сохранен"
"Store code should contain only letters (a-z), numbers (0-9) or underscore(_), first character should be a letter","Код магазина может содержать только буквы, цифры или подчеркивание. Первым символом должна быть буква."
"Store doesn't exist","Магазин не существует"
"Store view doesn't exist","Вид магазина не существует"
"Store view was successfully deleted.","Вид магазина успешно удалён."
"Store was successfully deleted.","Магазин был удален."
"Store was successfully saved","Магазин был успешно сохранен"
"Store with the same code","Магазин с тем же кодом"
"System","Система"
"System Log File Name","Системный лог"
"Template Path Hints","Подсказка пути шаблона"
"Templates","Шаблоны"
"The %s you entered is invalid. Please make sure that it follows ""http://domain.com/"" format.","Вы ввели что-то непонятное: %s. Убедитесь, что введённое Вами соответствует формату ""http://domain.com/""."
"Themes","Темы"
"This category and all its child elements","Эта категория со всеми подкатегориями"
"This category and its child categories only","Эта категория со всеми её подкатегориями"
"This category and its products only","Эта категория со всеми её товарами"
"This category only","Только этот раздел"
"This is a required field.","Это поле обязательно для заполнения."
"This store cannot be deleted","Невозможно удалить этот магазин"
"This store cannot be deleted.","Невозможно удалить этот магазин."
"This store view cannot be deleted","Невозможно удалить этот вид магазина"
"This store view cannot be deleted.","Невозможно удалить этот вид магазина."
"This website cannot be deleted","Невозможно удалить этот сайт"
"This website cannot be deleted.","Невозможно удалить этот сайт."
"This will be displayed just before body closing tag","Это будет отображено в конце страницы (перед </body>)"
"This will be included before head closing tag in page HTML","Это будет отображено в конце заголовка страницы (перед </head>)"
"Timezone","Часовой пояс"
"Title Prefix","Префикс названия"
"Title Suffix","Суфикс названия"
"Translate Inline","Построчный перевод"
"Translate cache should be disabled for both Frontend and Admin inline translations","Кэш перевода должен быть отключён для всеё системы на время построчного перевода"
"Translations","Переводы"
"Unable to delete store view. Please, try again later.","Невозможно удалить вид магазина. Система занята, попробуйте ещё раз позже"
"Unable to delete store. Please, try again later.","Невозможно удалить магазин. Система занята, попробуйте ещё раз позже"
"Unable to delete website. Please, try again later.","Невозможно удалить сайт. Система занята, попробуйте ещё раз позже."
"Unable to proceed. Please, try again","Не удалось продолжить. Пожалуйста, повторите попытку"
"Unknown scope ""%s""","Неизвестный набор ""%s"""
"Unsecure","Небезопасное соединение"
"Url Options","Параметры ссылки"
"Use Secure URLs in Admin","Использовать защищенные url в административной панели"
"Use Secure URLs in Frontend","Использовать защищенные url на сайте магазина"
"Use Web Server Rewrites","Использовать Web Server Rewrites"
"Use custom admin URL","Использовать указанный адрес (URL) для администратора"
"Validate HTTP_USER_AGENT","Проверить HTTP_USER_AGENT"
"Validate HTTP_VIA","Проверить HTTP_VIA"
"Validate HTTP_X_FORWARDED_FOR","Проверить HTTP_X_FORWARDED_FOR"
"Validate REMOTE_ADDR","Проверить REMOTE_ADDR"
"Web","Интернет"
"Website","Интернет-сайт"
"Website Information","Информация о сайте"
"Website Name","Название сайта"
"Website code should contain only letters (a-z), numbers (0-9) or underscore(_), first character should be a letter","Код сайта может содержать только буквы, цифры или подчеркивание. Первым символом должна быть буква."
"Website doesn't exist","Сайт не существует."
"Website was successfully deleted.","Веб-сайт был удален."
"Website was successfully saved","Веб-сайт был успешно сохранен"
"Website with the same code","Веб-сайт с тем же кодом"
"Weekend Days","Выходные дни"
"Welcome Text","Текст приветствия"
"Wrong number of arguments for %s","Неверное число аргументов для %s"
"Your order can not be completed at this time as there is no payment methods available for it.","Ваш заказ сейчас не может быть завершён, так как для него не заданы варианты оплаты."
"Your order can not be completed at this time as there is no shipping methods available for it. Please make neccessary changes in your shipping address.","Ваш заказ сейчас не может быть завершён, так как для него нет методов доставки. Пожалуйста, измените адрес доставки."
"Your session has been expired, you will be relogged in now.","Срок вашей сессии истек, вы должны войти в систему"
